"","low","est","high","ID","type","metric"
"t[velocity] (hours)245",1.73454738845723,1.95209343587031,2.19692399742235,"336792012Snow","OUF anisotropic","t[velocity] (hours)245"
"speed (kilometers/day)351",19.9803148518735,20.6630307184641,21.3454386877993,"336792012Snow","OUF anisotropic","speed (kilometers/day)351"
"area (square kilometers)385",1611.07634493697,2106.59123972699,2667.5317463239,"336792013SnowFree","OUF anisotropic","area (square kilometers)385"
"t[position] (days)315",1.94359472484655,2.63909378620479,3.58347134994134,"336792013SnowFree","OUF anisotropic","t[position] (days)315"
"t[velocity] (hours)246",1.21352921970785,1.38838642448678,1.58843877213212,"336792013SnowFree","OUF anisotropic","t[velocity] (hours)246"
"speed (kilometers/day)352",38.7189718772818,40.2776704816503,41.8355480789611,"336792013SnowFree","OUF anisotropic","speed (kilometers/day)352"
"area (square kilometers)386",1329.67250806482,2067.12649271406,2964.67057664273,"336792013Snow","OUF anisotropic","area (square kilometers)386"
"t[position] (days)316",3.74359791037667,6.30389614138632,10.6152176362837,"336792013Snow","OUF anisotropic","t[position] (days)316"
"t[velocity] (hours)247",1.02331632858337,1.17035879407444,1.33853009925443,"336792013Snow","OUF anisotropic","t[velocity] (hours)247"
"speed (kilometers/day)353",25.8384370283932,26.8303030364549,27.8216695106275,"336792013Snow","OUF anisotropic","speed (kilometers/day)353"
"area (square kilometers)387",984.455874035882,1717.09192762803,2650.1711838479,"336792014SnowFree","OUF anisotropic","area (square kilometers)387"
"t[position] (days)317",1.39538592602758,2.85306756510314,5.83350769074814,"336792014SnowFree","OUF anisotropic","t[position] (days)317"
"t[velocity] (hours)248",1.30418349871618,1.63932607299386,2.06059191535769,"336792014SnowFree","OUF anisotropic","t[velocity] (hours)248"
"speed (kilometers/day)354",30.7209905670112,32.7179183523298,34.7132129127852,"336792014SnowFree","OUF anisotropic","speed (kilometers/day)354"
"area (square kilometers)388",699.256105847872,1052.29412532682,1476.33223993417,"322532011Snow","OUF isotropic","area (square kilometers)388"
"t[position] (days)318",0.758667953672304,1.29880117479448,2.22348193762794,"322532011Snow","OUF isotropic","t[position] (days)318"
"t[velocity] (hours)249",1.06626804224332,1.43161183696426,1.92213624580196,"322532011Snow","OUF isotropic","t[velocity] (hours)249"
"speed (kilometers/day)355",35.4307264265286,37.9895182884294,40.5460138674926,"322532011Snow","OUF isotropic","speed (kilometers/day)355"
"area (square kilometers)389",670.821020687775,847.413109794176,1044.32688115977,"322532012SnowFree","OUF anisotropic","area (square kilometers)389"
"t[position] (days)319",1.60436176214744,2.10434856155735,2.76015233783757,"322532012SnowFree","OUF anisotropic","t[position] (days)319"
