"","ID","name","Esttype","SA","type","est","ExtraTerr","EVIMean","LFD"
"388","322662012SnowFree","322662012SnowFree 95% est","est","WHEC","OUF anisotropic",427.808894334965,0,1630.98982270768,0.186842600567674
"389","322672011Snow","322672011Snow 95% est","est","WHEC","OUF isotropic",880.188941398242,0,1449.9108322325,0.106902048930906
"390","322672012Snow","322672012Snow 95% est","est","WHEC","OUF anisotropic",899.351745039313,0,1420.07680074536,0.0822882156011368
"391","322672012SnowFree","322672012SnowFree 95% est","est","WHEC","OUF anisotropic",795.31066336649,0,1426.4780497218,0.100068661676498
"392","322672013SnowFree","322672013SnowFree 95% est","est","WHEC","OUF anisotropic",5256.16258772339,1,1722.13139227446,0.0639624204919263
"393","322682011Snow","322682011Snow 95% est","est","WHEC","OUF anisotropic",460.08375663953,0,1373.40684366755,0.214076055774272
"394","322682012SnowFree","322682012SnowFree 95% est","est","WHEC","OUF anisotropic",381.144670405824,0,1201.96217864206,0.209957919375595
"395","322692011Snow","322692011Snow 95% est","est","WHEC","OUF anisotropic",716.740969386378,0,1479.01377019575,0.133533053887807
"396","322692012SnowFree","322692012SnowFree 95% est","est","WHEC","OUF anisotropic",187.700997958533,0,1454.60638743118,0.151241990328157
"397","322702011Snow","322702011Snow 95% est","est","WHEC","OUF anisotropic",503.011033732969,0,1463.11342048491,0.0529308347631414
"398","322702012Snow","322702012Snow 95% est","est","WHEC","OUF anisotropic",382.341689146352,0,1355.87900019239,0.0566971067079394
"399","322702012SnowFree","322702012SnowFree 95% est","est","WHEC","OUF anisotropic",1143.36434091498,0,1325.76341557689,0.0611678061317145
"400","336682012Snow","336682012Snow 95% est","est","WHEC","OUF isotropic",407.617858012911,0,1133.33116055675,0.209852936936744
"401","336692012Snow","336692012Snow 95% est","est","WHEC","OUF anisotropic",1662.84452992808,0,1135.22228167461,0.252949249302763
"402","336732012Snow","336732012Snow 95% est","est","WHEC","OUF anisotropic",1385.51054463978,0,1608.58196881092,0.191932100901403
"403","336742012Snow","336742012Snow 95% est","est","WHEC","OU anisotropic",28478.5098500187,1,1490.1543902439,0.233535628470743
"404","336762013Snow","336762013Snow 95% est","est","WHEC","OUF anisotropic",1251.75267186498,0,1366.54341115818,0.226721351853369
"405","336772012Snow","336772012Snow 95% est","est","WHEC","OUF anisotropic",624.092796479048,0,1505.72105022533,0.178063660493944
"406","336772013Snow","336772013Snow 95% est","est","WHEC","OUF anisotropic",604.801694007041,0,1611.6348798376,0.175231550272916
"407","336772013SnowFree","336772013SnowFree 95% est","est","WHEC","OUF anisotropic",463.455780012332,0,1606.22788559086,0.176477704467147
"408","336782013Snow","336782013Snow 95% est","est","WHEC","OUF anisotropic",10136.937922237,1,1638.92168791351,0.129131167433703
"409","336782014SnowFree","336782014SnowFree 95% est","est","WHEC","OUf anisotropic",1542.43192493979,0,1804.21106866553,0.167568918572921
"410","336792012Snow","336792012Snow 95% est","est","WHEC","OUF anisotropic",218078.037571526,1,1153.62679802956,0.0119481950237679
"411","336792013Snow","336792013Snow 95% est","est","WHEC","OUF anisotropic",2067.12649271406,1,1152.15547136323,0.0187642983530382
"412","336792013SnowFree","336792013SnowFree 95% est","est","WHEC","OUF anisotropic",2106.59123972699,0,1127.75949603836,0.0184647352841925
"413","336792014SnowFree","336792014SnowFree 95% est","est","WHEC","OUF anisotropic",1717.09192762803,0,1231.02047005307,0.0174344043190353
"414","336802012Snow","336802012Snow 95% est","est","WHEC","OUF anisotropic",570.138611883653,0,1290.15927360775,0.058188507636062
"415","336802013SnowFree","336802013SnowFree 95% est","est","WHEC","OUF anisotropic",1915.58210488869,0,1777.2941204975,0.0557955051972403
"416","336812012Snow","336812012Snow 95% est","est","WHEC","OUF anisotropic",490.703950729917,0,1579.10331971731,0.190170270681184
"417","336812013SnowFree","336812013SnowFree 95% est","est","WHEC","OUF anisotropic",412.979631413231,0,1651.55793018587,0.184403344015735
